Nombre,Plataforma,Año,Genero,Editorial,VentasNA,VentasJP,VentasGlobal
Wii Sports,Wii,2006,Sports,Nintendo,41.49,3.77,82.74
Super Mario Bros.,NES,1985,Platform,Nintendo,29.08,6.81,40.24
Mario Kart Wii,Wii,2008,Racing,Nintendo,15.85,3.79,35.82
Wii Sports Resort,Wii,2009,Sports,Nintendo,15.75,3.28,33
Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,11.27,10.22,31.37
Tetris,GB,1989,Puzzle,Nintendo,23.2,4.22,30.26
New Super Mario Bros.,DS,2006,Platform,Nintendo,11.38,6.5,30.01
Wii Play,Wii,2006,Misc,Nintendo,14.03,2.93,29.02
New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14.59,4.7,28.62
Duck Hunt,NES,1984,Shooter,Nintendo,26.93,0.28,28.31
Nintendogs,DS,2005,Simulation,Nintendo,9.07,1.93,24.76
Mario Kart DS,DS,2005,Racing,Nintendo,9.81,4.13,23.42
Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,9,7.2,23.1
Wii Fit,Wii,2007,Sports,Nintendo,8.94,3.6,22.72
Wii Fit Plus,Wii,2009,Sports,Nintendo,9.09,2.53,22
Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,14.97,0.24,21.82
Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7.01,0.97,21.4
Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9.43,0.41,20.81
Super Mario World,SNES,1990,Platform,Nintendo,12.78,3.54,20.61
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,4.75,4.16,20.22
Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,6.42,6.04,18.36
Super Mario Land,GB,1989,Platform,Nintendo,10.83,4.18,18.14
Super Mario Bros. 3,NES,1988,Platform,Nintendo,9.54,3.84,17.28
Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,9.63,0.06,16.38
Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,8.41,0.47,16.15
Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,6.06,5.38,15.85
Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,5.57,5.65,15.32
Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,3.44,5.32,15.3
Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,6.85,1.87,14.98
Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,9.03,0.13,14.76
PokÃ©mon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,5.89,3.12,14.64
Call of Duty: Black Ops,X360,2010,Shooter,Activision,9.67,0.11,14.64
Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,5.17,4.34,14.35
Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,5.77,0.35,14.24
Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,4.99,0.65,14.03
Call of Duty: Black Ops II,X360,2012,Shooter,Activision,8.25,0.07,13.73
Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,8.52,0.08,13.51
Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,5.54,0.49,13.46
Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,6.99,0.3,13.1
Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,6.75,2.66,13.04
Call of Duty: Black Ops,PS3,2010,Shooter,Activision,5.98,0.48,12.73
Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,2.55,5.33,12.27
Mario Kart 7,3DS,2011,Racing,Nintendo,4.74,2.67,12.21
Halo 3,X360,2007,Shooter,Microsoft Game Studios,7.97,0.13,12.14
Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,3.8,0.36,11.98
Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo,4.4,3.96,11.9
Super Mario 64,N64,1996,Platform,Nintendo,6.91,1.91,11.89
Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,3.01,1.1,11.66
Super Mario Galaxy,Wii,2007,Platform,Nintendo,6.16,1.2,11.52
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,4.23,3.08,11.33
Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,6.16,2.69,11.18
Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,6.76,0.14,11.02
Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,4.02,2.54,10.95
Super Mario 3D Land,3DS,2011,Platform,Nintendo,4.89,2.13,10.79
Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,2.96,0.81,10.77
Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,4.99,0.38,10.69
Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,4.76,0.44,10.57
Super Mario All-Stars,SNES,1993,Platform,Nintendo,5.99,2.12,10.55
Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,4.34,3.15,10.49
Super Mario 64,DS,2004,Platform,Nintendo,5.08,1.25,10.42
Just Dance 3,Wii,2011,Misc,Ubisoft,6.05,0,10.26
Call of Duty: Ghosts,X360,2013,Shooter,Activision,6.72,0.04,10.21
Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,7.03,0.08,9.88
Mario Kart 64,N64,1996,Racing,Nintendo,5.55,2.23,9.87
New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,3.66,2.47,9.82
Halo 4,X360,2012,Shooter,Microsoft Game Studios,6.63,0.04,9.76
Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,3.01,3.28,9.72
Call of Duty: Ghosts,PS3,2013,Shooter,Activision,4.09,0.38,9.59
Just Dance 2,Wii,2010,Misc,Ubisoft,5.84,0.01,9.52
Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,3.88,1.69,9.49
Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,5.91,0.13,9.32
Donkey Kong Country,SNES,1994,Platform,Nintendo,4.36,3,9.3
Minecraft,X360,2013,Misc,Microsoft Game Studios,5.58,0.02,9.2
Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,2.01,4.36,9.09
Mario Party DS,DS,2007,Misc,Nintendo,4.46,1.98,9.02
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,5.03,0.1,8.84
Super Mario Kart,SNES,1992,Racing,Nintendo,3.54,3.81,8.76
Halo 2,XB,2004,Shooter,Microsoft Game Studios,6.82,2.49,8.49
Wii Party,Wii,2010,Misc,Nintendo,1.79,0.06,8.49
FIFA 16,PS4,2015,Sports,Electronic Arts,1.11,0.05,8.49
Mario Party 8,Wii,2007,Misc,Nintendo,3.81,1.58,8.42
Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,2.91,3.14,8.33
FIFA Soccer 13,PS3,2012,Action,Electronic Arts,1.06,0.13,8.24
The Sims 3,PC,2009,Simulation,Electronic Arts,0.98,0,8.11
GoldenEye 007,N64,1997,Shooter,Nintendo,5.8,0.13,8.09
Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,2.58,0.66,8.06
Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.73,8.05
Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,2.28,3.63,7.86
PokÃ©mon Platinum Version,DS,2008,Role-Playing,Nintendo,2.82,2.69,7.84
Pac-Man,2600,1982,Puzzle,Atari,7.28,0,7.81
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,2.9,0.24,7.72
Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3.66,0.98,7.69
Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,2.93,0.22,7.67
The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,4.1,1.45,7.6
Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,2.8,0.14,7.6
Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,3.78,1.31,7.58
Super Mario Bros. 2,NES,1988,Platform,Nintendo,5.39,0.7,7.46
Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,3.24,2.42,7.45
Call of Duty: World at War,X360,2008,Shooter,Activision,4.79,0,7.37
Battlefield 3,X360,2011,Shooter,Electronic Arts,4.46,0.06,7.34
